Issue#,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Labels,Estimated Complexity,Assignee,Reporter,Number of Votes,Number of Watchers,Created,Updated,Resolved,Description,Comments
10560,Task,Resolved,Minor,Fixed,2.18.0,2.19.0,camel-servlet,None,Unknown,Fabrizio Spataro,Fabrizio Spataro,0,2,12/5/2016 16:41,12/6/2016 8:56,12/6/2016 8:55,"

Add new proxy method getSubmittedFileName() into PartDataSource nested class.

","





 ASF GitHub Bot
 added a comment  - 05/Dec/16 16:43 

GitHub user Fabryprog opened a pull request:
 https://github.com/apache/camel/pull/1331
 CAMEL-10560, Gets the file name specified by the client
 https://issues.apache.org/jira/browse/CAMEL-10560
You can merge this pull request into a Git repository by running:
    $ git pull https://github.com/Fabryprog/camel CAMEL-10560
Alternatively you can review and apply these changes as the patch at:
 https://github.com/apache/camel/pull/1331.patch
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1331

commit e41bdaaf608b6fc4506f600b5a6a6f5c48a24143
Author: Fabrizio Spataro <fabrizio.spataro@bizmate.it>
Date:   2016-12-05T16:42:38Z
 CAMEL-10560, added getSubmittedFileName() into PartDataSource to retrieve file name specified by the client
 







 ASF GitHub Bot
 added a comment  - 05/Dec/16 16:43                    GitHub user Fabryprog opened a pull request: 

      https://github.com/apache/camel/pull/1331  

       CAMEL-10560  , Gets the file name specified by the client 

      https://issues.apache.org/jira/browse/CAMEL-10560  

 You can merge this pull request into a Git repository by running: 

     $ git pull  https://github.com/Fabryprog/camel    CAMEL-10560   

 Alternatively you can review and apply these changes as the patch at: 

      https://github.com/apache/camel/pull/1331.patch  

 To close this pull request, make a commit to your master/trunk branch 
with (at least) the following in the commit message: 

     This closes #1331 

 
 commit e41bdaaf608b6fc4506f600b5a6a6f5c48a24143 
Author: Fabrizio Spataro <fabrizio.spataro@bizmate.it> 
Date:   2016-12-05T16:42:38Z 

       CAMEL-10560  , added getSubmittedFileName() into PartDataSource to retrieve file name specified by the client 

              








 ASF GitHub Bot
 added a comment  - 06/Dec/16 08:56 

Github user Fabryprog closed the pull request at:
 https://github.com/apache/camel/pull/1331 







 ASF GitHub Bot
 added a comment  - 06/Dec/16 08:56                    Github user Fabryprog closed the pull request at: 

      https://github.com/apache/camel/pull/1331               



"
10561,New Feature,Resolved,Major,Fixed,,2.19.0,camel-catalog,None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/6/2016 9:30,12/6/2016 13:01,12/6/2016 13:01,"

To make it easy for users to expose the CamelCatalog as a REST service from a JAX-RS resource class.

","





 Claus Ibsen
 added a comment  - 06/Dec/16 13:01 

There is a little camel-rest-app users can try out the rest api which has embedded swagger ui as well. 







 Claus Ibsen
 added a comment  - 06/Dec/16 13:01                    There is a little camel-rest-app users can try out the rest api which has embedded swagger ui as well.              



"
10562,Bug,Resolved,Critical,Fixed,"2.18.0,                                            2.18.1","2.18.2,                                            2.19.0",camel-core,None,Unknown,Claus Ibsen,Stefan,0,3,12/6/2016 16:18,12/8/2016 8:43,12/8/2016 8:43,"

DefaultCamelContext#safelyStartRouteServices the following code is called:

Collections.sort(startupListeners, new OrderedComparator());


startupListeners is a CopyOnWriteArrayList.
In the specification of Collections.sort it is stated, that an UnsupportedOperationException is thrown if the collections listiterator doesn't support the set-operation.
Sadly, the documentation of CopyOnWriteArrayList#listIterator states, that the listiterator doesn't support this operation.
As expected in this szenario, the UnsupportedOperationException is thrown during startup of the camel context if an Oracle JDK 1.8.0 with patchlevel lower than 20 is used.
In 1.8.0_20 the operation Collections#sort(List,Comparator) is rewritten to delegate to List#sort(Comparator) so it doesn't matter anymore if the lists listIterator supports the set-operation.
The issue can trivially been fixed by replacing the line by

startupListeners.sort(new OrderedComparator());



","





 Stefan
 added a comment  - 06/Dec/16 16:24 

This issue is a blocker in our environment, because we can not simply change the JRE in use on our servers. So I set the priority only to critical because of the outdated affected version of Java and the because I'm not sure, if other JREs, i.e. the IBM JRE, are affected, too.
I will add a pull request later. Currently I'm not able to clone the git repo  







 Stefan
 added a comment  - 06/Dec/16 16:24                    This issue is a blocker in our environment, because we can not simply change the JRE in use on our servers. So I set the priority only to critical because of the outdated affected version of Java and the because I'm not sure, if other JREs, i.e. the IBM JRE, are affected, too. 

 I will add a pull request later. Currently I'm not able to clone the git repo                








 ASF GitHub Bot
 added a comment  - 06/Dec/16 23:12 

GitHub user sschulze opened a pull request:
 https://github.com/apache/camel/pull/1333
 CAMEL-10562: camel-core - Switched to List#sort
    Usage of Collections.sort(CopyOnWriteArrayList, Comparator) causes an UnsupportedOperationException on Oracle Java 1.8.0 up to fixpack 20 due to the documented restriction of this method to require an implemented ListIterator#set(...) operation on the given list.
    For details have a look at CAMEL-10562(https://issues.apache.org/jira/browse/CAMEL-10562).
You can merge this pull request into a Git repository by running:
    $ git pull https://github.com/sschulze/camel master
Alternatively you can review and apply these changes as the patch at:
 https://github.com/apache/camel/pull/1333.patch
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1333

commit bb8be00f5e50f4190677ffac8e73609446a600d9
Author: Stefan Schulze <stefan.schulze3@gmail.com>
Date:   2016-12-06T23:02:19Z
 CAMEL-10562: camel-core - Switched to List#sort
 







 ASF GitHub Bot
 added a comment  - 06/Dec/16 23:12                    GitHub user sschulze opened a pull request: 

      https://github.com/apache/camel/pull/1333  

       CAMEL-10562  : camel-core - Switched to List#sort 

     Usage of Collections.sort(CopyOnWriteArrayList, Comparator) causes an UnsupportedOperationException on Oracle Java 1.8.0 up to fixpack 20 due to the documented restriction of this method to require an implemented ListIterator#set(...) operation on the given list. 

     For details have a look at   CAMEL-10562  ( https://issues.apache.org/jira/browse/CAMEL-10562 ). 

 You can merge this pull request into a Git repository by running: 

     $ git pull  https://github.com/sschulze/camel  master 

 Alternatively you can review and apply these changes as the patch at: 

      https://github.com/apache/camel/pull/1333.patch  

 To close this pull request, make a commit to your master/trunk branch 
with (at least) the following in the commit message: 

     This closes #1333 

 
 commit bb8be00f5e50f4190677ffac8e73609446a600d9 
Author: Stefan Schulze <stefan.schulze3@gmail.com> 
Date:   2016-12-06T23:02:19Z 

       CAMEL-10562  : camel-core - Switched to List#sort 

              








 ASF GitHub Bot
 added a comment  - 08/Dec/16 08:43 

Github user asfgit closed the pull request at:
 https://github.com/apache/camel/pull/1333 







 ASF GitHub Bot
 added a comment  - 08/Dec/16 08:43                    Github user asfgit closed the pull request at: 

      https://github.com/apache/camel/pull/1333               








 Claus Ibsen
 added a comment  - 08/Dec/16 08:43 

Thanks for reporting and the PR 







 Claus Ibsen
 added a comment  - 08/Dec/16 08:43                    Thanks for reporting and the PR              



"
10563,Improvement,Resolved,Minor,Fixed,,2.19.0,camel-hazelcast,None,Unknown,Luca Burgazzoli,Luca Burgazzoli,0,1,12/6/2016 16:23,12/13/2016 13:20,12/13/2016 13:20,,"





 Luca Burgazzoli
 added a comment  - 13/Dec/16 11:20 

Need to add better handling for hz instance cleanup 







 Luca Burgazzoli
 added a comment  - 13/Dec/16 11:20                    Need to add better handling for hz instance cleanup              



"
10564,Bug,Resolved,Major,Fixed,,2.19.0,camel-netty-http,None,Unknown,Nicola Ferraro,Nicola Ferraro,0,1,12/7/2016 14:57,12/13/2016 9:17,12/13/2016 9:17,"

Setting properties like:

camel.component.netty-http.configuration.maximum-pool-size=20


... to configure the netty-http-starter component produce class-cast errors.

Caused by: java.lang.ClassCastException: org.apache.camel.component.netty.NettyConfiguration cannot be cast to org.apache.camel.component.netty.http.NettyHttpConfiguration
	at org.apache.camel.component.netty.http.NettyHttpEndpoint.getConfiguration(NettyHttpEndpoint.java:151) ~[camel-netty-http-2.18.1.jar:2.18.1]
	at org.apache.camel.component.netty.http.NettyHttpEndpoint.createConsumer(NettyHttpEndpoint.java:83) ~[camel-netty-http-2.18.1.jar:2.18.1]
	at org.apache.camel.component.netty.http.NettyHttpComponent.doCreateConsumer(NettyHttpComponent.java:369) ~[camel-netty-http-2.18.1.jar:2.18.1]
	at org.apache.camel.component.netty.http.NettyHttpComponent.createConsumer(NettyHttpComponent.java:264) ~[camel-netty-http-2.18.1.jar:2.18.1]
	at org.apache.camel.component.rest.RestEndpoint.createConsumer(RestEndpoint.java:489) ~[camel-core-2.18.1.jar:2.18.1]
	at org.apache.camel.impl.EventDrivenConsumerRoute.addServices(EventDrivenConsumerRoute.java:69) ~[camel-core-2.18.1.jar:2.18.1]
	at org.apache.camel.impl.DefaultRoute.onStartingServices(DefaultRoute.java:103) ~[camel-core-2.18.1.jar:2.18.1]
	at org.apache.camel.impl.RouteService.doWarmUp(RouteService.java:167) ~[camel-core-2.18.1.jar:2.18.1]
	at org.apache.camel.impl.RouteService.warmUp(RouteService.java:141) ~[camel-core-2.18.1.jar:2.18.1]
	... 31 common frames omitted



The reason is that the netty-http Component, that inherits from the netty component, requires a subclass of NettyConfiguration (NettyHttpConfiguration), while the generated starter is using the parent class.

","

    There are no comments yet on this issue.
 "
10565,Improvement,Resolved,Major,Done,,2.19.0,camel-undertow,None,Unknown,Nicola Ferraro,Nicola Ferraro,0,1,12/7/2016 15:07,3/24/2017 12:15,3/24/2017 12:15,"

The undertow component creates 1 worker thread per CPU and this can be a problem when running in docker containers on machines with 64+ cores (Java containers currently see the number of CPUs of the host machine, even when resource limitation is enabled).
We need to add configuration options to the component to limit the number of threads (and possibly other available options).

","

    There are no comments yet on this issue.
 "
10566,Task,Resolved,Major,Fixed,,2.19.0,karaf,None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/7/2016 15:16,12/7/2016 15:21,12/7/2016 15:21,"

Its not supported on osgi/karaf.

","

    There are no comments yet on this issue.
 "
10567,Improvement,Resolved,Minor,Fixed,,"2.16.5,                                            2.17.5,                                            2.18.2,                                            2.19.0",camel-jackson,None,Unknown,Andrea Cosentino,Andrea Cosentino,0,1,12/7/2016 16:54,12/14/2016 20:26,12/7/2016 17:22,"

By default the option will be false.

","

    There are no comments yet on this issue.
 "
10568,Bug,Resolved,Major,Fixed,2.18.0,"2.17.5,                                            2.18.2,                                            2.19.0",camel-sftp,None,Novice,Claus Ibsen,Adam Campbell,0,3,12/7/2016 22:29,12/8/2016 14:17,12/8/2016 14:15,"

It looks like CAMEL-9820 has not resolved SFTP readLockMinAge functionality.
When I run the latest version, I get a new last modified time as negative. I think this is because both types are int so it is performing the calculation as an int and then converting it to long.
It should work if this line:
newLastModified = f.getAttrs().getMTime() * 1000;
Is changed to:
newLastModified = f.getAttrs().getMTime() * 1000L;
TRACE o.a.c.c.f.r.s.SftpChangedExclusiveReadLockStrategy - List files outgoing/Promo/dev/test.dat found 1 files
TRACE o.a.c.c.f.r.s.SftpChangedExclusiveReadLockStrategy - Previous last modified: -9223372036854775808, new last modified: -616826120
TRACE o.a.c.c.f.r.s.SftpChangedExclusiveReadLockStrategy - Previous length: -9223372036854775808, new length: 12921172
TRACE o.a.c.c.f.r.s.SftpChangedExclusiveReadLockStrategy - New older than threshold: 1481147995902
TRACE o.a.c.c.f.r.s.SftpChangedExclusiveReadLockStrategy - Read lock acquired.

","





 Claus Ibsen
 added a comment  - 08/Dec/16 08:05 

Thanks for reporting. I wonder if you can do a patch or better as a github PR
http://camel.apache.org/contributing 







 Claus Ibsen
 added a comment  - 08/Dec/16 08:05                    Thanks for reporting. I wonder if you can do a patch or better as a github PR 
 http://camel.apache.org/contributing               








 ASF GitHub Bot
 added a comment  - 08/Dec/16 13:58 

GitHub user adamcamp opened a pull request:
 https://github.com/apache/camel/pull/1337
 CAMEL-10568 Fix SftpChangedExclusiveReadLockStrategy integer overflow bug
 https://issues.apache.org/jira/browse/CAMEL-10568
You can merge this pull request into a Git repository by running:
    $ git pull https://github.com/adamcamp/camel CAMEL-10568
Alternatively you can review and apply these changes as the patch at:
 https://github.com/apache/camel/pull/1337.patch
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1337

commit df2f7cd2bb2e5816b59e854eb9e1a75b660f5e79
Author: acampbel <adam.campbell@neustar.biz>
Date:   2016-12-08T13:55:28Z
 CAMEL-10568 Fix integer overflow bug
 







 ASF GitHub Bot
 added a comment  - 08/Dec/16 13:58                    GitHub user adamcamp opened a pull request: 

      https://github.com/apache/camel/pull/1337  

       CAMEL-10568   Fix SftpChangedExclusiveReadLockStrategy integer overflow bug 

      https://issues.apache.org/jira/browse/CAMEL-10568  

 You can merge this pull request into a Git repository by running: 

     $ git pull  https://github.com/adamcamp/camel    CAMEL-10568   

 Alternatively you can review and apply these changes as the patch at: 

      https://github.com/apache/camel/pull/1337.patch  

 To close this pull request, make a commit to your master/trunk branch 
with (at least) the following in the commit message: 

     This closes #1337 

 
 commit df2f7cd2bb2e5816b59e854eb9e1a75b660f5e79 
Author: acampbel <adam.campbell@neustar.biz> 
Date:   2016-12-08T13:55:28Z 

       CAMEL-10568   Fix integer overflow bug 

              








 Claus Ibsen
 added a comment  - 08/Dec/16 14:15 

Thanks for the PR 







 Claus Ibsen
 added a comment  - 08/Dec/16 14:15                    Thanks for the PR              








 ASF GitHub Bot
 added a comment  - 08/Dec/16 14:17 

Github user adamcamp closed the pull request at:
 https://github.com/apache/camel/pull/1337 







 ASF GitHub Bot
 added a comment  - 08/Dec/16 14:17                    Github user adamcamp closed the pull request at: 

      https://github.com/apache/camel/pull/1337               



"
10569,Improvement,Resolved,Minor,Duplicate,2.19.0,,camel-salesforce,None,Unknown,Zoran Regvart,Zoran Regvart,0,1,12/8/2016 10:37,12/14/2016 9:30,12/14/2016 9:30,"

As per discussion in CAMEL-10452, Data Transfer Objects (DTOs) generated by camel-salesforce-maven-plugin could contain additional metadata. This metadata could be used to get the list of fields in the SObject, to provide label plural form (needed in some APIs), or URLs of SObjects.
The simplest option would be to add a method that returns existing SObjectDescription populated with the data received from the metadata service during the generation of DTOs.

","

    There are no comments yet on this issue.
 "
10570,Improvement,Resolved,Minor,Fixed,2.19.0,2.19.0,camel-salesforce,None,Unknown,Zoran Regvart,Zoran Regvart,0,2,12/8/2016 10:37,12/14/2016 9:31,12/14/2016 9:31,"

As per discussion in CAMEL-10452, Data Transfer Objects (DTOs) generated by camel-salesforce-maven-plugin could contain additional metadata. This metadata could be used to get the list of fields in the SObject, to provide label plural form (needed in some APIs), or URLs of SObjects.
The simplest option would be to add a method that returns existing SObjectDescription populated with the data received from the metadata service during the generation of DTOs.

","





 ASF GitHub Bot
 added a comment  - 08/Dec/16 10:38 

GitHub user zregvart opened a pull request:
 https://github.com/apache/camel/pull/1334
 CAMEL-10570  camel-salesforce: add metadata to generated DTOs
    This commit adds SObjectDescription by making the DTOs extend
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase.
    The code generation is performed in Velocity template by recursing the
    bean SObjectDescription properties. Helper methods are added to
    GeneratorUtility that help track the stack of the recursive invocation.
    To prevent hitting Java method length restriction (64K) some properties
    are blacklisted: PicklistValues and ChildRelationships which most likely
    would not be needed in the component operation anyways.
    @dhirajsb would you mind taking a look at this?
You can merge this pull request into a Git repository by running:
    $ git pull https://github.com/zregvart/camel salesforce-metadata
Alternatively you can review and apply these changes as the patch at:
 https://github.com/apache/camel/pull/1334.patch
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1334

commit a7cdf08cf52ef4f5cc6f418e6357142b5a441b9a
Author: Zoran Regvart <zoran@regvart.com>
Date:   2016-12-08T10:27:28Z
    SObjectDescription metadata in DTOs
    This commit adds SObjectDescription by making the DTOs extend
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase.
    The code generation is performed in Velocity template by recursing the
    bean SObjectDescription properties. Helper methods are added to
    GeneratorUtility that help track the stack of the recursive invocation.
    To prevent hitting Java method length restriction (64K) some properties
    are blacklisted: PicklistValues and ChildRelationships which most likely
    would not be needed in the component operation anyways.
    (cherry picked from commit 2d14fd8caa58f4520cf70801a27a0a57b023f492)
 







 ASF GitHub Bot
 added a comment  - 08/Dec/16 10:38                    GitHub user zregvart opened a pull request: 

      https://github.com/apache/camel/pull/1334  

       CAMEL-10570    camel-salesforce: add metadata to generated DTOs 

     This commit adds SObjectDescription by making the DTOs extend 
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase. 

     The code generation is performed in Velocity template by recursing the 
    bean SObjectDescription properties. Helper methods are added to 
    GeneratorUtility that help track the stack of the recursive invocation. 

     To prevent hitting Java method length restriction (64K) some properties 
    are blacklisted: PicklistValues and ChildRelationships which most likely 
    would not be needed in the component operation anyways. 

     @dhirajsb would you mind taking a look at this? 

 You can merge this pull request into a Git repository by running: 

     $ git pull  https://github.com/zregvart/camel  salesforce-metadata 

 Alternatively you can review and apply these changes as the patch at: 

      https://github.com/apache/camel/pull/1334.patch  

 To close this pull request, make a commit to your master/trunk branch 
with (at least) the following in the commit message: 

     This closes #1334 

 
 commit a7cdf08cf52ef4f5cc6f418e6357142b5a441b9a 
Author: Zoran Regvart <zoran@regvart.com> 
Date:   2016-12-08T10:27:28Z 

     SObjectDescription metadata in DTOs 

     This commit adds SObjectDescription by making the DTOs extend 
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase. 

     The code generation is performed in Velocity template by recursing the 
    bean SObjectDescription properties. Helper methods are added to 
    GeneratorUtility that help track the stack of the recursive invocation. 

     To prevent hitting Java method length restriction (64K) some properties 
    are blacklisted: PicklistValues and ChildRelationships which most likely 
    would not be needed in the component operation anyways. 

     (cherry picked from commit 2d14fd8caa58f4520cf70801a27a0a57b023f492) 

              








 ASF GitHub Bot
 added a comment  - 14/Dec/16 09:17 

Github user zregvart closed the pull request at:
 https://github.com/apache/camel/pull/1334 







 ASF GitHub Bot
 added a comment  - 14/Dec/16 09:17                    Github user zregvart closed the pull request at: 

      https://github.com/apache/camel/pull/1334               



"
10571,Improvement,Resolved,Minor,Fixed,2.19.0,2.19.0,camel-salesforce,None,Unknown,Zoran Regvart,Zoran Regvart,0,2,12/8/2016 10:46,12/14/2016 15:32,12/14/2016 15:32,"

The SObject tree Composite API allows for creation of up to 200 records with 5 levels of parent-child relationships in one API request. This improves performance by eliminating multiple round-trip requests needed to perform record creation.
The camel-salesforce component should support this aspect of Composite API.

","





 ASF GitHub Bot
 added a comment  - 08/Dec/16 18:56 

GitHub user zregvart opened a pull request:
 https://github.com/apache/camel/pull/1338
 CAMEL-10571 SObject tree creation, Composite API
    *Don't merge look at #1334 first.*
    @dhirajsb would you mind taking a look at this?
    This pull requests adds support for SObject tree creation using Salesforce
    Composite API. It includes the commit from #1334 which it is based on.
    So please review pull request #1334 before merging this in, and if you can
    notify me through comments I'll rebase if #1334 gets merged in.
    This functionality allows user to create multiple, up to 200, records
    including parent-child relationships, up to 5 levels using one API call.
    For instance:
    Account account = ...
    Contact president = ...
    Contact marketing = ...
    Account anotherAccount = ...
    Contact sales = ...
    Asset someAsset = ...
    // build the tree
    SObjectTree request = new SObjectTree();
    request.addObject(account).addChildren(president, marketing);
    request.addObject(anotherAccount).addChild(sales).addChild(someAsset);
    final SObjectTree response =
    template.requestBody(""salesforce:composite-tree"", tree,
    SObjectTree.class);
    The returned response in the output message is the identical object
    received in the body of the input message updated with identifiers
    received on successful record creation or populated errors on failure.
You can merge this pull request into a Git repository by running:
    $ git pull https://github.com/zregvart/camel composite-api
Alternatively you can review and apply these changes as the patch at:
 https://github.com/apache/camel/pull/1338.patch
To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:
    This closes #1338

commit a7cdf08cf52ef4f5cc6f418e6357142b5a441b9a
Author: Zoran Regvart <zoran@regvart.com>
Date:   2016-12-08T10:27:28Z
    SObjectDescription metadata in DTOs
    This commit adds SObjectDescription by making the DTOs extend
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase.
    The code generation is performed in Velocity template by recursing the
    bean SObjectDescription properties. Helper methods are added to
    GeneratorUtility that help track the stack of the recursive invocation.
    To prevent hitting Java method length restriction (64K) some properties
    are blacklisted: PicklistValues and ChildRelationships which most likely
    would not be needed in the component operation anyways.
    (cherry picked from commit 2d14fd8caa58f4520cf70801a27a0a57b023f492)
commit cfbb26c00858dd472b7f320174fdd0fd431c7f5d
Author: Zoran Regvart <zoran@regvart.com>
Date:   2016-12-08T10:28:07Z
 CAMEL-10571 SObject tree creation, Composite API
    This commit implements support for SObject tree creation via Salesforce
    Composite API. This allows user to create multiple, up to 200, records
    including parent-child relationships, up to 5 levels using one API call.
    For instance:
    Account account = ...
    Contact president = ...
    Contact marketing = ...
    Account anotherAccount = ...
    Contact sales = ...
    Asset someAsset = ...
    // build the tree
    SObjectTree request = new SObjectTree();
    request.addObject(account).addChildren(president, marketing);
    request.addObject(anotherAccount).addChild(sales).addChild(someAsset);
    final SObjectTree response =
    template.requestBody(""salesforce:composite-tree"", tree,
    SObjectTree.class);
    The returned response in the output message is the identical object
    received in the body of the input message updated with identifiers
    received on successful record creation or populated errors on failure.
 







 ASF GitHub Bot
 added a comment  - 08/Dec/16 18:56                    GitHub user zregvart opened a pull request: 

      https://github.com/apache/camel/pull/1338  

        CAMEL-10571   SObject tree creation, Composite API 

     * Don't merge look at #1334 first. * 

     @dhirajsb would you mind taking a look at this? 

     This pull requests adds support for SObject tree creation using Salesforce 
    Composite API. It includes the commit from #1334 which it is based on. 

     So please review pull request #1334 before merging this in, and if you can 
    notify me through comments I'll rebase if #1334 gets merged in. 

     This functionality allows user to create multiple, up to 200, records 
    including parent-child relationships, up to 5 levels using one API call. 

     For instance: 

     Account account = ... 
    Contact president = ... 
    Contact marketing = ... 

     Account anotherAccount = ... 
    Contact sales = ... 
    Asset someAsset = ... 

     // build the tree 
    SObjectTree request = new SObjectTree(); 
    request.addObject(account).addChildren(president, marketing); 
    request.addObject(anotherAccount).addChild(sales).addChild(someAsset); 

     final SObjectTree response = 
    template.requestBody(""salesforce:composite-tree"", tree, 
    SObjectTree.class); 

     The returned response in the output message is the identical object 
    received in the body of the input message updated with identifiers 
    received on successful record creation or populated errors on failure. 

 You can merge this pull request into a Git repository by running: 

     $ git pull  https://github.com/zregvart/camel  composite-api 

 Alternatively you can review and apply these changes as the patch at: 

      https://github.com/apache/camel/pull/1338.patch  

 To close this pull request, make a commit to your master/trunk branch 
with (at least) the following in the commit message: 

     This closes #1338 

 
 commit a7cdf08cf52ef4f5cc6f418e6357142b5a441b9a 
Author: Zoran Regvart <zoran@regvart.com> 
Date:   2016-12-08T10:27:28Z 

     SObjectDescription metadata in DTOs 

     This commit adds SObjectDescription by making the DTOs extend 
    AbstractDescribedSObjectBase (new class) instead of AbstractSObjectBase. 

     The code generation is performed in Velocity template by recursing the 
    bean SObjectDescription properties. Helper methods are added to 
    GeneratorUtility that help track the stack of the recursive invocation. 

     To prevent hitting Java method length restriction (64K) some properties 
    are blacklisted: PicklistValues and ChildRelationships which most likely 
    would not be needed in the component operation anyways. 

     (cherry picked from commit 2d14fd8caa58f4520cf70801a27a0a57b023f492) 

 commit cfbb26c00858dd472b7f320174fdd0fd431c7f5d 
Author: Zoran Regvart <zoran@regvart.com> 
Date:   2016-12-08T10:28:07Z 

       CAMEL-10571   SObject tree creation, Composite API 

     This commit implements support for SObject tree creation via Salesforce 
    Composite API. This allows user to create multiple, up to 200, records 
    including parent-child relationships, up to 5 levels using one API call. 

     For instance: 

     Account account = ... 
    Contact president = ... 
    Contact marketing = ... 

     Account anotherAccount = ... 
    Contact sales = ... 
    Asset someAsset = ... 

     // build the tree 
    SObjectTree request = new SObjectTree(); 
    request.addObject(account).addChildren(president, marketing); 
    request.addObject(anotherAccount).addChild(sales).addChild(someAsset); 

     final SObjectTree response = 
    template.requestBody(""salesforce:composite-tree"", tree, 
    SObjectTree.class); 

     The returned response in the output message is the identical object 
    received in the body of the input message updated with identifiers 
    received on successful record creation or populated errors on failure. 

              








 ASF GitHub Bot
 added a comment  - 14/Dec/16 11:45 

Github user zregvart closed the pull request at:
 https://github.com/apache/camel/pull/1338 







 ASF GitHub Bot
 added a comment  - 14/Dec/16 11:45                    Github user zregvart closed the pull request at: 

      https://github.com/apache/camel/pull/1338               



"
10572,Improvement,Resolved,Minor,Fixed,2.18.1,2.19.0,camel-core,None,Novice,Claus Ibsen,Christoph Läubrich,0,2,12/8/2016 11:47,1/5/2017 9:25,1/5/2017 9:25,"

The documentation for the CBR (http://camel.apache.org/content-based-router.html) states 
The following example shows how to route ... depending on the evaluation of various Predicate expressions
If you now look at the predicate section (http://camel.apache.org/predicate.html) it says:
Camel supports extensible Predicates using multiple Languages; the following languages are supported out of the box
...
Ref Language
...But going to the Ref page (http://camel.apache.org/ref-language.html) it statesThe Ref Expression Language is really just a way to lookup a custom Expression from the Registry. 
So Ref Language does NOT support Predicates, it works in most cases since nearly all classes in Camel core implement Expresion and Predicate interface and there is a lot of converting between those, but if you have a custom expression that only implements predicate, you get in fact an (a bit misleading) exception:
java.lang.IllegalArgumentException: Cannot find expression in registry with ref: predicate
	at org.apache.camel.language.ref.RefLanguage$1.evaluate(RefLanguage.java:50)
	at org.apache.camel.support.ExpressionAdapter.evaluate(ExpressionAdapter.java:36)
	at org.apache.camel.support.ExpressionSupport.matches(ExpressionSupport.java:32)
	at org.apache.camel.util.ExpressionToPredicateAdapter.matches(ExpressionToPredicateAdapter.java:35)
	at org.apache.camel.processor.FilterProcessor.matches(FilterProcessor.java:65)
	at org.apache.camel.processor.ChoiceProcessor.process(ChoiceProcessor.java:93)
	at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:77)
	at org.apache.camel.processor.RedeliveryErrorHandler.process(RedeliveryErrorHandler.java:542)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:197)
	at org.apache.camel.processor.CamelInternalProcessor.process(CamelInternalProcessor.java:197)
	at org.apache.camel.component.timer.TimerConsumer.sendTimerExchange(TimerConsumer.java:192)
	at org.apache.camel.component.timer.TimerConsumer$1.run(TimerConsumer.java:76)
It takes me some time to find out that Camel is in fact finding my bean but can't use it, beside that its hard to work out why a predicate must also implement expression (Choice it self requires an Predicate in fact, so it converts all expresions to Predicates).
So the following improvements would be nice

Let RefLanguage send out some kind of TypeConverterException if it can't use the bean as the desired type
Let Ref, if it finds that the referenced bean is a predicate, convert this to an expression e.g with PredicateToExpressionAdapter


","





 Claus Ibsen
 added a comment  - 08/Dec/16 20:08 

You are welcome to work on a patch or better githb PR with an implementation of this
http://camel.apache.org/contributing
Include an unit test would be good 







 Claus Ibsen
 added a comment  - 08/Dec/16 20:08                    You are welcome to work on a patch or better githb PR with an implementation of this 
 http://camel.apache.org/contributing  

 Include an unit test would be good              



"
